x, true, terminal, branch, dgm, bsde
-3.474747474747474030e+00,-9.092040042901409214e-01,-8.254841236957941586e-01,-9.060972929000854492e-01,-9.138120412826538086e-01,-9.077146053314208984e-01
-3.313131313131313149e+00,-9.030583017413273961e-01,-8.148258033945940948e-01,-9.001528620719909668e-01,-9.076471328735351562e-01,-9.011059999465942383e-01
-3.151515151515151381e+00,-8.965439491834159558e-01,-8.036713572481528622e-01,-8.939066529273986816e-01,-9.011051654815673828e-01,-8.939201831817626953e-01
-2.989898989898989612e+00,-8.896453350530681981e-01,-7.920165003550455607e-01,-8.873544335365295410e-01,-8.941701650619506836e-01,-8.861745595932006836e-01
-2.828282828282827843e+00,-8.823470772627859393e-01,-7.798592830578847668e-01,-8.804907202720642090e-01,-8.868263959884643555e-01,-8.779224157333374023e-01
-2.666666666666666075e+00,-8.746341681934592938e-01,-7.672003179666810890e-01,-8.733088970184326172e-01,-8.790585994720458984e-01,-8.692553639411926270e-01
-2.505050505050504306e+00,-8.664921351002179417e-01,-7.540429947363451735e-01,-8.658022880554199219e-01,-8.708529472351074219e-01,-8.603004813194274902e-01
-2.343434343434342537e+00,-8.579072156877685096e-01,-7.403936768263957857e-01,-8.579634428024291992e-01,-8.621968030929565430e-01,-8.512091636657714844e-01
-2.181818181818181657e+00,-8.488665482212744973e-01,-7.262618741771968978e-01,-8.497851490974426270e-01,-8.530790805816650391e-01,-8.421368598937988281e-01
-2.020202020202019888e+00,-8.393583750879262118e-01,-7.116603856128662642e-01,-8.412615656852722168e-01,-8.434909582138061523e-01,-8.332125544548034668e-01
-1.858585858585858119e+00,-8.293722582159945844e-01,-6.966054048596270754e-01,-8.323862552642822266e-01,-8.334251642227172852e-01,-8.244942426681518555e-01
-1.696969696969696351e+00,-8.188993041992722599e-01,-6.811165843776680884e-01,-8.231512308120727539e-01,-8.228771686553955078e-01,-8.159189224243164062e-01
-1.535353535353534582e+00,-8.079323963763793692e-01,-6.652170517643227754e-01,-8.135376572608947754e-01,-8.118453025817871094e-01,-8.072488307952880859e-01
-1.373737373737372813e+00,-7.964664304920301419e-01,-6.489333743053278258e-01,-8.035048842430114746e-01,-8.003300428390502930e-01,-7.980331778526306152e-01
-1.212121212121211933e+00,-7.844985499414358632e-01,-6.322954683245287644e-01,-7.929710745811462402e-01,-7.883343696594238281e-01,-7.876253128051757812e-01
-1.050505050505050164e+00,-7.720283759947292879e-01,-6.153364512909551554e-01,-7.817989587783813477e-01,-7.758643627166748047e-01,-7.753106951713562012e-01
-8.888888888888883955e-01,-7.590582278452995268e-01,-5.980924361500457032e-01,-7.697986960411071777e-01,-7.629277706146240234e-01,-7.606105208396911621e-01
-7.272727272727266268e-01,-7.455933268574127526e-01,-5.806022690017356158e-01,-7.567818760871887207e-01,-7.495344877243041992e-01,-7.437397837638854980e-01
-5.656565656565648581e-01,-7.316419790401047507e-01,-5.629072129869816532e-01,-7.426616549491882324e-01,-7.356947660446166992e-01,-7.259590029716491699e-01
-4.040404040404030894e-01,-7.172157295821661727e-01,-5.450505829901076682e-01,-7.275194525718688965e-01,-7.214205265045166016e-01,-7.092975974082946777e-01
