x,y
1.968411865234375000e+02,2.954056549072265625e+01
9.347976684570312500e+01,2.038058662414550781e+01
9.214303588867187500e+01,2.023224449157714844e+01
2.053819580078125000e+02,3.017753791809082031e+01
1.114202117919921875e+02,2.216865348815917969e+01
1.910716705322265625e+02,2.912279319763183594e+01
1.363764190673828125e+02,2.458331298828125000e+01
1.832449035644531250e+02,2.848634910583496094e+01
1.052050933837890625e+02,2.156966018676757812e+01
2.052382354736328125e+02,3.014932823181152344e+01
1.550136718750000000e+02,2.622196197509765625e+01
1.226598587036132812e+02,2.330312156677246094e+01
1.068823089599609375e+02,2.177458953857421875e+01
1.936527862548828125e+02,2.926351165771484375e+01
1.886397399902343750e+02,2.890246200561523438e+01
1.108838958740234375e+02,2.217954826354980469e+01
1.190944595336914062e+02,2.296122169494628906e+01
1.489845581054687500e+02,2.573524284362792969e+01
1.045123596191406250e+02,2.154183006286621094e+01
1.898585205078125000e+02,2.890854454040527344e+01
9.637963104248046875e+01,2.063467407226562500e+01
9.425151824951171875e+01,2.042343521118164062e+01
1.935942382812500000e+02,2.927387237548828125e+01
1.383346405029296875e+02,2.476094436645507812e+01
1.576325836181640625e+02,2.637605857849121094e+01
2.046140899658203125e+02,3.008193778991699219e+01
1.669459075927734375e+02,2.720574378967285156e+01
2.079833374023437500e+02,3.035608482360839844e+01
1.236361541748046875e+02,2.340739059448242188e+01
1.081789550781250000e+02,2.190264511108398438e+01
1.589024658203125000e+02,2.654740715026855469e+01
2.003832244873046875e+02,2.976841163635253906e+01
1.850763549804687500e+02,2.864225578308105469e+01
1.139885406494140625e+02,2.241147232055664062e+01
1.242157669067382812e+02,2.349465560913085938e+01
1.381601104736328125e+02,2.476692581176757812e+01
9.785661315917968750e+01,2.084007072448730469e+01
1.196136322021484375e+02,2.304638671875000000e+01
1.764328155517578125e+02,2.796093750000000000e+01
1.533635559082031250e+02,2.607789993286132812e+01
1.764139251708984375e+02,2.796180152893066406e+01
1.842761383056640625e+02,2.861170387268066406e+01
1.673185729980468750e+02,2.717113113403320312e+01
1.607638702392578125e+02,2.669309997558593750e+01
1.886189880371093750e+02,2.887265014648437500e+01
2.093932495117187500e+02,3.053911209106445312e+01
1.715220336914062500e+02,2.759205627441406250e+01
1.391331176757812500e+02,2.479774665832519531e+01
9.436862182617187500e+01,2.041962623596191406e+01
1.492857971191406250e+02,2.569599723815917969e+01
1.116528778076171875e+02,2.221995925903320312e+01
1.419069671630859375e+02,2.501677131652832031e+01
1.023274917602539062e+02,2.130102539062500000e+01
1.332700653076171875e+02,2.431036186218261719e+01
1.712744750976562500e+02,2.754143714904785156e+01
2.024905090332031250e+02,2.993906593322753906e+01
2.055673522949218750e+02,3.003985595703125000e+01
1.588622131347656250e+02,2.655592536926269531e+01
1.540571289062500000e+02,2.615878105163574219e+01
1.419100952148437500e+02,2.505974769592285156e+01
1.220426712036132812e+02,2.328660392761230469e+01
9.082750701904296875e+01,2.008994293212890625e+01
2.010149841308593750e+02,2.983232498168945312e+01
1.918960876464843750e+02,2.919020080566406250e+01
1.959741516113281250e+02,2.945083999633789062e+01
1.454237823486328125e+02,2.540793037414550781e+01
9.353896331787109375e+01,2.035646629333496094e+01
1.781121673583984375e+02,2.811066627502441406e+01
1.268742828369140625e+02,2.369445037841796875e+01
9.457874298095703125e+01,2.049119949340820312e+01
1.046336212158203125e+02,2.148061370849609375e+01
1.525501098632812500e+02,2.603962707519531250e+01
1.082653045654296875e+02,2.181868553161621094e+01
1.681887054443359375e+02,2.731251907348632812e+01
1.482654571533203125e+02,2.567117118835449219e+01
1.259433593750000000e+02,2.362787818908691406e+01
1.833740539550781250e+02,2.849287414550781250e+01
1.038744201660156250e+02,2.144992828369140625e+01
1.289926300048828125e+02,2.393213844299316406e+01
1.491075439453125000e+02,2.571053123474121094e+01
1.774322509765625000e+02,2.805024337768554688e+01
1.950598907470703125e+02,2.942093658447265625e+01
1.496633300781250000e+02,2.574405860900878906e+01
1.645480346679687500e+02,2.696233749389648438e+01
9.818679809570312500e+01,2.083603286743164062e+01
2.089960021972656250e+02,3.041316795349121094e+01
1.449206542968750000e+02,2.528008842468261719e+01
1.867209777832031250e+02,2.876194953918457031e+01
1.004355468750000000e+02,2.109106636047363281e+01
1.866105651855468750e+02,2.871495056152343750e+01
1.476884613037109375e+02,2.560138893127441406e+01
1.220256729125976562e+02,2.328046798706054688e+01
1.578867492675781250e+02,2.644340896606445312e+01
1.998759460449218750e+02,2.978490257263183594e+01
1.596480712890625000e+02,2.652149200439453125e+01
1.212484893798828125e+02,2.314315032958984375e+01
1.691227264404296875e+02,2.738608169555664062e+01
2.041977844238281250e+02,3.008742523193359375e+01
1.876812133789062500e+02,2.880740356445312500e+01
1.807307128906250000e+02,2.831261253356933594e+01
1.850123596191406250e+02,2.851950645446777344e+01
1.857686614990234375e+02,2.864735603332519531e+01
1.724223022460937500e+02,2.769453430175781250e+01
2.077705688476562500e+02,3.028461647033691406e+01
2.042630462646484375e+02,3.003540039062500000e+01
1.233197326660156250e+02,2.338458061218261719e+01
1.289745025634765625e+02,2.394912910461425781e+01
1.469803924560546875e+02,2.548700523376464844e+01
1.567723083496093750e+02,2.634935569763183594e+01
1.504529876708984375e+02,2.582846641540527344e+01
2.056170959472656250e+02,3.018299293518066406e+01
9.782574462890625000e+01,2.080184173583984375e+01
1.490875854492187500e+02,2.567199325561523438e+01
1.286790771484375000e+02,2.386853599548339844e+01
1.482564697265625000e+02,2.566302490234375000e+01
1.302663879394531250e+02,2.397617340087890625e+01
1.599862518310546875e+02,2.666433715820312500e+01
1.353267059326171875e+02,2.448138427734375000e+01
1.535341339111328125e+02,2.609725952148437500e+01
1.691741638183593750e+02,2.740525245666503906e+01
1.400286102294921875e+02,2.492131996154785156e+01
2.024365386962890625e+02,2.987251853942871094e+01
1.677955322265625000e+02,2.726760673522949219e+01
1.448826904296875000e+02,2.534942817687988281e+01
1.836821746826171875e+02,2.855840301513671875e+01
1.774049377441406250e+02,2.802093505859375000e+01
1.923144073486328125e+02,2.917997550964355469e+01
1.795252075195312500e+02,2.819516181945800781e+01
