x,y
1.023274917602539062e+02,2.132373428344726562e+01
1.332700653076171875e+02,2.432414817810058594e+01
1.712744750976562500e+02,2.744442558288574219e+01
2.024905090332031250e+02,2.994454383850097656e+01
2.055673522949218750e+02,3.019838142395019531e+01
1.588622131347656250e+02,2.648622131347656250e+01
1.540571289062500000e+02,2.614419746398925781e+01
1.419100952148437500e+02,2.508008766174316406e+01
1.220426712036132812e+02,2.327631759643554688e+01
9.082750701904296875e+01,2.005755233764648438e+01
2.010149841308593750e+02,2.981112861633300781e+01
1.918960876464843750e+02,2.915495872497558594e+01
1.959741516113281250e+02,2.937955093383789062e+01
1.454237823486328125e+02,2.538988685607910156e+01
9.353896331787109375e+01,2.038436698913574219e+01
1.781121673583984375e+02,2.811978149414062500e+01
1.268742828369140625e+02,2.371550941467285156e+01
9.457874298095703125e+01,2.048220443725585938e+01
1.046336212158203125e+02,2.150952339172363281e+01
1.525501098632812500e+02,2.603910255432128906e+01
1.082653045654296875e+02,2.192677116394042969e+01
1.681887054443359375e+02,2.732608985900878906e+01
1.482654571533203125e+02,2.562278175354003906e+01
1.259433593750000000e+02,2.365698432922363281e+01
1.833740539550781250e+02,2.849384689331054688e+01
1.038744201660156250e+02,2.144783782958984375e+01
1.289926300048828125e+02,2.394353675842285156e+01
1.491075439453125000e+02,2.569175720214843750e+01
1.774322509765625000e+02,2.804082489013671875e+01
1.950598907470703125e+02,2.946517181396484375e+01
1.496633300781250000e+02,2.581972122192382812e+01
1.645480346679687500e+02,2.702091217041015625e+01
9.818679809570312500e+01,2.088450622558593750e+01
2.089960021972656250e+02,3.037529945373535156e+01
1.449206542968750000e+02,2.528292846679687500e+01
1.867209777832031250e+02,2.879581832885742188e+01
1.004355468750000000e+02,2.104340744018554688e+01
1.866105651855468750e+02,2.878131866455078125e+01
1.476884613037109375e+02,2.556271553039550781e+01
1.220256729125976562e+02,2.327048492431640625e+01
1.578867492675781250e+02,2.644182586669921875e+01
1.998759460449218750e+02,2.980471229553222656e+01
1.596480712890625000e+02,2.660841178894042969e+01
1.212484893798828125e+02,2.314034461975097656e+01
1.691227264404296875e+02,2.752344322204589844e+01
2.041977844238281250e+02,3.005646896362304688e+01
1.876812133789062500e+02,2.869088745117187500e+01
1.807307128906250000e+02,2.827867507934570312e+01
1.850123596191406250e+02,2.860050964355468750e+01
1.857686614990234375e+02,2.865855598449707031e+01
1.724223022460937500e+02,2.760720062255859375e+01
2.077705688476562500e+02,3.025665092468261719e+01
2.042630462646484375e+02,3.007707214355468750e+01
1.233197326660156250e+02,2.330627059936523438e+01
1.289745025634765625e+02,2.390080642700195312e+01
1.469803924560546875e+02,2.550685119628906250e+01
1.567723083496093750e+02,2.638786888122558594e+01
1.504529876708984375e+02,2.581740760803222656e+01
2.056170959472656250e+02,3.018461799621582031e+01
9.782574462890625000e+01,2.080799674987792969e+01
1.490875854492187500e+02,2.573094367980957031e+01
1.286790771484375000e+02,2.389006614685058594e+01
1.482564697265625000e+02,2.565303039550781250e+01
1.302663879394531250e+02,2.402171707153320312e+01
1.599862518310546875e+02,2.663833808898925781e+01
1.353267059326171875e+02,2.443826484680175781e+01
1.535341339111328125e+02,2.609585762023925781e+01
1.691741638183593750e+02,2.727044296264648438e+01
1.400286102294921875e+02,2.493128013610839844e+01
2.024365386962890625e+02,2.997827529907226562e+01
1.677955322265625000e+02,2.728186225891113281e+01
1.448826904296875000e+02,2.533054733276367188e+01
1.836821746826171875e+02,2.857697105407714844e+01
1.774049377441406250e+02,2.806203079223632812e+01
1.923144073486328125e+02,2.917562866210937500e+01
1.795252075195312500e+02,2.821204376220703125e+01
1.702761383056640625e+02,2.746819305419921875e+01
1.657313995361328125e+02,2.715941238403320312e+01
2.074636840820312500e+02,3.032842826843261719e+01
1.354088897705078125e+02,2.451176834106445312e+01
1.141179809570312500e+02,2.251121520996093750e+01
1.310804748535156250e+02,2.411389923095703125e+01
