x, true, terminal, branch, dgm
-1.848484848484848397e+00,-7.761039700810476449e-02,-2.741334534675005652e-01,-7.852608710527420044e-02,-1.322272568941116333e-01
-1.787878787878787845e+00,-1.708163028916112602e-02,-2.153814795453309894e-01,-8.461964316666126251e-03,-1.320308148860931396e-01
-1.727272727272727293e+00,4.350985967089292250e-02,-1.558386312017186470e-01,6.232243776321411133e-02,-1.320531219244003296e-01
-1.666666666666666519e+00,1.039415827133509523e-01,-9.572354801437543692e-02,1.281796097755432129e-01,-1.321113407611846924e-01
-1.606060606060605966e+00,1.639916353389010706e-01,-3.525697079043223214e-02,1.887018382549285889e-01,-1.324180364608764648e-01
-1.545454545454545414e+00,2.234395155307122016e-01,2.533906898727637108e-02,2.458887398242950439e-01,-1.325495839118957520e-01
-1.484848484848484862e+00,2.820669324313163084e-01,8.584206445324789325e-02,3.028756976127624512e-01,-1.327497363090515137e-01
-1.424242424242424310e+00,3.396586079001795433e-01,1.460298503979400864e-01,3.562475442886352539e-01,-1.330870091915130615e-01
-1.363636363636363535e+00,3.960030670086661098e-01,2.056814190518485019e-01,4.055298268795013428e-01,-1.334686875343322754e-01
-1.303030303030302983e+00,4.508934145697195972e-01,2.645777316194973250e-01,4.272447526454925537e-01,-1.338776350021362305e-01
-1.242424242424242431e+00,5.041280948508706228e-01,3.225025225834181053e-01,4.852862954139709473e-01,-1.343000829219818115e-01
-1.181818181818181657e+00,5.555116316809234345e-01,3.792430938247314254e-01,5.314477086067199707e-01,-1.347959041595458984e-01
-1.121212121212121104e+00,6.048553462326733410e-01,4.345910956443470030e-01,5.966533422470092773e-01,-1.354495137929916382e-01
-1.060606060606060552e+00,6.519780498459796236e-01,4.883432918168963965e-01,6.361776590347290039e-01,-1.359768956899642944e-01
-1.000000000000000000e+00,6.967067093471653871e-01,5.403023058681397650e-01,6.797164678573608398e-01,-1.365459710359573364e-01
-9.393939393939394478e-01,7.388770824217121280e-01,5.902773458355402569e-01,6.097664833068847656e-01,-1.372221112251281738e-01
-8.787878787878788955e-01,7.783343207071806713e-01,6.380849048507067911e-01,7.002998590469360352e-01,-1.379050612449645996e-01
-8.181818181818183433e-01,8.149335383918167031e-01,6.835494349711863649e-01,8.157948255538940430e-01,-1.385924816131591797e-01
-7.575757575757573470e-01,8.485403442309660260e-01,7.265039917873153952e-01,8.737149238586425781e-01,-1.394735276699066162e-01
-6.969696969696967948e-01,8.790313350277485505e-01,7.667908474371526450e-01,9.152997732162475586e-01,-1.401153355836868286e-01
-6.363636363636362425e-01,9.062945487659478383e-01,8.042620697785241024e-01,9.411292076110839844e-01,-1.410381644964218140e-01
-5.757575757575756903e-01,9.302298757312217337e-01,8.387800655914716685e-01,9.516331553459167480e-01,-1.417182683944702148e-01
-5.151515151515151381e-01,9.507494261110122080e-01,8.702180858164869637e-01,9.615389108657836914e-01,-1.424592137336730957e-01
-4.545454545454545858e-01,9.677778527233372730e-01,8.984606909733078295e-01,9.731642007827758789e-01,-1.432106792926788330e-01
-3.939393939393940336e-01,9.812526276894137922e-01,9.234041750512754776e-01,9.866181612014770508e-01,-1.440829932689666748e-01
-3.333333333333330373e-01,9.911242720341794099e-01,9.449569463147378112e-01,9.980027079582214355e-01,-1.448708027601242065e-01
-2.727272727272724850e-01,9.973565373716243299e-01,9.630398636251923383e-01,1.004992485046386719e+00,-1.456883996725082397e-01
-2.121212121212119328e-01,9.999265390077934912e-01,9.775865270452068767e-01,1.008417487144470215e+00,-1.463434100151062012e-01
-1.515151515151513806e-01,9.988248399727049920e-01,9.885435216570247485e-01,1.008009552955627441e+00,-1.472799926996231079e-01
-9.090909090909082835e-02,9.940554856726250277e-01,9.958706137005628456e-01,1.003600239753723145e+00,-1.480147540569305420e-01
-3.030303030303027612e-02,9.856359890354556841e-01,9.995408983105884548e-01,9.961209297180175781e-01,-1.488095372915267944e-01
3.030303030303027612e-02,9.735972662037820635e-01,9.995408983105884548e-01,9.859038591384887695e-01,-1.495547592639923096e-01
9.090909090909082835e-02,9.579835230117104139e-01,9.958706137005628456e-01,9.725093841552734375e-01,-1.501944065093994141e-01
1.515151515151513806e-01,9.388520926623541429e-01,9.885435216570247485e-01,9.535782933235168457e-01,-1.509809195995330811e-01
2.121212121212123769e-01,9.162732252020068247e-01,9.775865270452067657e-01,9.273985624313354492e-01,-1.516902148723602295e-01
2.727272727272729291e-01,8.903298295640519333e-01,9.630398636251921163e-01,8.982240557670593262e-01,-1.523493230342864990e-01
